"lookupVariable","lookupValue","newVariable","newValue","source"
"species","Cs","species","Camellia sasanqua","from paper[D Barneche]"
"species","Cj","species","Camellia japonia","from paper[D Barneche]"
"species","Na","species","Neolitsea aciculata","from paper[D Barneche]"
"species","Sg","species","Symplocos glauca","from paper[D Barneche]"
"species","Pn","species","Podocarpus nagi","from paper[D Barneche]"
"species","Ia","species","Illicium anisatsum","from paper[D Barneche]"
"species","Dr","species","Distylium racemosum","from paper[D Barneche]"
"species","Ms","species","Myrsine seguinii","from paper[D Barneche]"
"species","St","species","Symplocos tanakae","from paper[D Barneche]"
"species","Sp","species","Symplocos purnifolia","from paper[D Barneche]"
"species","Rt","species","Rhododendron tashiroi","from paper[D Barneche]"
"species","La","species","Litsea acuminata","from paper[D Barneche]"
"species","Cl","species","Cleyera japonica","from paper[D Barneche]"
"species","Ej","species","Eurya japonica","from paper[D Barneche]"
"","","latitude","30.34678","from paper[D Barneche]"
"","","longitude","130.5164","from paper[D Barneche]"
"","","growingCondition","FW","from paper[D Barneche]"
"","","vegetation","TempRF","from paper[D Barneche]"
"","","location","Yakushima Island, Kyushu, Japan","from paper[D Barneche]"
