"var_in","method","unit_in","var_out","notes"
"dataset",NA,NA,NA,NA
"location",NA,"-","location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,"-","vegetation",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
"species",NA,"-","species",NA
"family",NA,"-","family",NA
"pft",NA,"-","pft",NA
"age",NA,"yr","age",NA
"a.lf","c,2","m2","a.lf",NA
"a.ssbaX",NA,NA,NA,NA
"a.ssbh",NA,"m2","a.ssbh",NA
"a.ssbc",NA,"m2","a.ssbc",NA
"a.shba",NA,"m2","a.shba",NA
"a.shbh",NA,"m2","a.shbh",NA
"a.shbc",NA,"m2","a.shbc",NA
"a.sbba",NA,"m2","a.sbba",NA
"a.sbbh",NA,"m2","a.sbbh",NA
"a.sbbc",NA,"m2","a.sbbc",NA
"a.stba",NA,"m2","a.stba",NA
"a.stbh",NA,"m2","a.stbh",NA
"a.stbc",NA,"m2","a.stbc",NA
"a.cp",NA,"m2","a.cp",NA
"a.cs",NA,"m2","a.cs",NA
"h.t",NA,"m","h.t",NA
"h.c",NA,"m","h.c",NA
"d.ba","i","m","d.ba",NA
"d.bh",NA,"m","d.bh",NA
"d.cr",NA,"m","d.cr",NA
"c.d",NA,"m","c.d",NA
"m.lf","m1","kg","m.lf",NA
"m.ss",NA,"kg","m.ss",NA
"m.sh",NA,"kg","m.sh",NA
"m.sb",NA,"kg","m.sb",NA
"m.st","m1","kg","m.st",NA
"m.so","m1","kg","m.so",NA
"m.br","m1","kg","m.br",NA
"m.rf",NA,"kg","m.rf",NA
"m.rc",NA,"kg","m.rc",NA
"m.rt",NA,"kg","m.rt",NA
"m.to",NA,"kg","m.to",NA
"a.ilf",NA,"m2","a.ilf",NA
"ma.ilf","m1,2,c","kg.m2","ma.ilf",NA
"r.st",NA,"kg.m3","r.st",NA
"r.ss",NA,"kg.m3","r.ss",NA
"r.sb",NA,"kg.m3","r.sb",NA
"r.sh",NA,"kg.m3","r.sh",NA
"n.lf",NA,"kg.kg","n.lf",NA
"n.ss",NA,"kg.kg","n.ss",NA
"n.sb",NA,"kg.kg","n.sb",NA
"n.sh",NA,"kg.kg","n.sh",NA
"n.rf",NA,"kg.kg","n.rf",NA
"n.rc",NA,"kg.kg","n.rc",NA
"growingCondition",NA,"-","growingCondition",NA
"status",NA,"-","status",NA
"light",NA,"-","light",NA
