"var_in","method","unit_in","var_out","notes"
"dbh","j","cm","d.bh",NA
"hgt","dx","m","h.t",NA
"hgt crown base","dx","m","h.c",NA
"foliage mass","m6","kg","m.lf",NA
"BH Sapwood area","j","cm2","a.ssbh",NA
"BLC sapwood area","j","cm2","a.ssbc",NA
"Leaf Area","b,r,7","m2","a.lf",NA
"tree",NA,NA,NA,NA
"stratum",NA,NA,NA,NA
"crown class",NA,NA,"status",NA
"% foliate mass by morphology type",NA,NA,NA,NA
"% foliate mass by morphology type",NA,NA,NA,NA
"% foliate mass by morphology type",NA,NA,NA,NA
"% foliate mass by morphology type",NA,NA,NA,NA
"% foliate mass by morphology type",NA,NA,NA,NA
