"var_in","method","unit_in","var_out","notes"
"Stem.diameter.at.10.percent.Height",NA,"cm","d.bh",NA
"h.bh",NA,"cm","h.bh","variable description"
"Height",NA,"cm","h.t",NA
"Crown.depth",NA,"cm","c.d",NA
"Crown.Projection.Area","a","m2","a.cp",NA
"Stem.mass",NA,"g","m.st",NA
"Total.leaf.mass",NA,"g","m.lf",NA
"Total.leaf.area","c","cm2","a.lf",NA
"Individual.leaf.area","b,1","cm2","a.ilf",NA
"SLA",NA,"cm2.g","ma.ilf",NA
"LAI",NA,"m2.m2","lai",NA
"D0",NA,"mm","d.ba",NA
"light.ISF","li4","-","light",NA
"light.DSF",NA,"-",NA,NA
"light.GSF",NA,"-",NA,NA
"Source",NA,NA,NA,NA
"species",NA,"-","species",NA
"Tree.No.",NA,NA,NA,NA
"Individual.leaf.mass",NA,NA,NA,NA
"pft",NA,"-","pft",NA
"growingCondition",NA,"-","growingCondition",NA
"location",NA,"-","location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,"-","vegetation",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
