"var_in","method","unit_in","var_out","notes"
"Stem.diameter.at.10.percent.Height","?","cm","d.bh",NA
"h.bh",NA,"cm","h.bh","variable description"
"Height","?","cm","h.t",NA
"Crown.depth","?","cm","c.d",NA
"Crown.Projection.Area","a","m2","a.cp",NA
"Stem.mass","?","g","m.st",NA
"Total.leaf.mass","m1,7","g","m.lf",NA
"Total.leaf.area","b,7,c","cm2","a.lf",NA
"Individual.leaf.area","b,1","cm2","a.ilf",NA
"SLA","?","cm2.g","ma.ilf",NA
"LAI","?","m2.m2","lai",NA
"D0","?","mm","d.ba",NA
"light.ISF","li4",NA,"light",NA
"light.DSF",NA,NA,NA,NA
"light.GSF",NA,NA,NA,NA
"Source",NA,NA,NA,NA
"species",NA,NA,"species",NA
"Tree.No.",NA,NA,NA,NA
"Individual.leaf.mass",NA,NA,NA,NA
"pft",NA,NA,"pft",NA
"growingCondition",NA,NA,"growingCondition",NA
"location",NA,NA,"location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,NA,"vegetation",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
