"var_in","method","unit_in","var_out","notes"
"DBH","?","cm","d.bh",NA
"h.bh",NA,"m","h.bh","meta-data"
"Height","?","m","h.t",NA
"Crown.depth","?","m","c.d",NA
"Crown.Projection.Area","?","m2","a.cp",NA
"Stem.mass","?","g","m.st",NA
"Total.leaf.mass","?","g","m.lf",NA
"Total.leaf.area","?","m2","a.lf",NA
"Individual.leaf.area","?","cm2","a.ilf",NA
"SLA","?","cm2.g","ma.ilf",NA
"LAI","?","m2.m2","lai",NA
"D0","?","cm","d.ba",NA
"light.ISF","l5",NA,"light",NA
"light.DSF",NA,NA,NA,NA
"light.GSF",NA,NA,NA,NA
"Source",NA,NA,NA,NA
"species",NA,NA,"species",NA
"Tree.No.",NA,NA,NA,NA
"Individual.leaf.mass",NA,NA,NA,NA
"Stem.diameter.at.10.percent.Height",NA,NA,NA,NA
"pft",NA,NA,"pft",NA
"growingCondition",NA,NA,"growingCondition",NA
"location",NA,NA,"location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,NA,"vegetation",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
