"var_in","method","unit_in","var_out","notes"
"Diam","?","cm","d.bh",NA
"Ht","?","m","h.t","height (m) using a measurement tape, and thus by climbing neigbouring trees for the larger focal trees"
"Ht2","?","m","h.c","height of the lowest leaf, but considered part of the crown, so not a single leaf sprouting from the stem base while the rest of the leafy crown starts at 20 m."
"CW","?","m","d.cr",NA
"TLA","a1,x1,x7","m2","a.lf","total leaf area (m2) is calculated by multiplying the number of leaves with the mean leaf area of a random leaf sample (20 leaves for taller individuals, but smaller samples for small individuals)"
"LA","?","cm2","a.ilf","leaf area (cm2) is the average area of a single leaf, based on the average area of a leaf sample of 20 leaves."
"SLA","?","cm2.g","ma.ilf",NA
"PAR","l2",NA,"light",NA
"Sp",NA,NA,"species",NA
"Nr",NA,NA,NA,NA
"Size",NA,NA,NA,NA
"NrLvs",NA,NA,NA,NA
"CPI",NA,NA,NA,NA
"Open",NA,NA,NA,NA
