"var_in","method","unit_in","var_out","notes"
"age","","yr","age",""
"a.lf","c","m2","a.lf",""
"a.ss","","cm2","a.ssbh","Measured at 4 years, estimated other ages"
"a.sh","","m2","a.shbh","Measured at 4 years, estimated other ages"
"a.st","","cm2","a.stbh","from circumference over bark"
"a.babh","","cm2","a.babh","from circumference under bark"
"a.cp","w","cm","d.cr",""
"a.cs","","m2","a.cs",""
"h.t","","m","h.t",""
"h.c","","m","h.c",""
"m.lf","m0","kg","m.lf",""
"m.st","m0","kg","m.st",""
"m.sb","m0","kg","m.sb",""
"m.br","m0","kg","m.br","Living branch mass"
"m.rc","m0","kg","m.rc","Coarse root + stump mass"
"n.lf","a1","kg.m2","n.lf",""
"n.ss","","kg.kg","n.ss","Sapwood + Heartwood"
"n.sb","","kg.kg","n.sb",""
"n.rf","a4","kg.kg","n.rf",""
"Variable",NA,NA,NA,NA
"contributor",NA,NA,NA,NA
"family",NA,NA,NA,NA
"species",NA,NA,NA,NA
"Nutrition",NA,NA,NA,NA
"a.st1",NA,NA,NA,NA
"m.br1",NA,NA,NA,NA
"m.rf",NA,NA,NA,NA
"pft",NA,NA,NA,NA
"growingCondition",NA,NA,NA,NA
"status",NA,NA,NA,NA
"light",NA,NA,NA,NA
"group",NA,NA,"grouping",NA
"location",NA,NA,NA,NA
"latitude",NA,NA,NA,NA
"longitude",NA,NA,NA,NA
"vegetation",NA,NA,NA,NA
"lai",NA,NA,NA,NA
"map",NA,NA,NA,NA
"mat",NA,NA,NA,NA
"reference",NA,NA,NA,NA
