"var_in","method","unit_in","var_out","notes"
"Contributor",NA,NA,NA,NA
"Family",NA,NA,"family",NA
"Species",NA,NA,"species",NA
"a.lf",NA,"m2","a.lf",NA
"st diam at base",NA,"mm","d.ba",NA
"Crown Width",NA,"m","d.cr",NA
"h.t",NA,"m","h.t",NA
"h.c",NA,"m","h.c",NA
"m.lf",NA,"kg","m.lf",NA
"m.st",NA,"kg","m.st",NA
"m.rt",NA,"kg","m.rt",NA
"lf.ma",NA,"kg.m2","ma.ilf",NA
"pft",NA,NA,"pft",NA
"growingCondition",NA,NA,"growingCondition",NA
"Light",NA,NA,"light",NA
"Group",NA,NA,NA,NA
"Location",NA,NA,"location",NA
"Latitude",NA,NA,"latitude",NA
"Longitude",NA,NA,"longitude",NA
"Vegetation",NA,NA,"vegetation",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
"reference",NA,NA,NA,NA
"Date.DD-MM-YY",NA,NA,NA,NA
"Perturbation",NA,NA,NA,NA
"LIMING 3t/ha",NA,NA,NA,NA
"plot_ID",NA,NA,NA,NA
"Subplot_ID",NA,NA,NA,NA
"grouping",NA,NA,"grouping",NA
