"var_in","method","unit_in","var_out","notes"
"Age","?","yr","age",NA
"a.lf","c,t","m2","a.lf",NA
"a.ss","j","m2","a.ssba",NA
"a.sh","?","m2","a.shba",NA
"a.st","?","m2","a.stba",NA
"h.lf","?","m","h.c",NA
"h.t","?","m","h.t",NA
"m.lf","m5,6","kg","m.lf",NA
"Name",NA,NA,NA,NA
"Year",NA,NA,NA,NA
"Symbol",NA,NA,NA,NA
"Title",NA,NA,NA,NA
"Species",NA,NA,"species",NA
"Family",NA,NA,NA,NA
"pft",NA,"-","pft",NA
"growingCondition",NA,"-","growingCondition",NA
"status",NA,"-","status",NA
"vegetation",NA,"-","vegetation",NA
"location",NA,"-","location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"map",NA,"mm","map",NA
