"var_in","method","unit_in","var_out","notes"
"Age",NA,"yr","age",NA
"a.lf","c,t","m2","a.lf",NA
"a.ss","j","m2","a.ssba",NA
"a.sh",NA,"m2","a.shba",NA
"a.st",NA,"m2","a.stba",NA
"h.lf",NA,"m","h.c",NA
"h.t",NA,"m","h.t",NA
"m.lf",NA,"kg","m.lf",NA
"Name",NA,NA,NA,NA
"Year",NA,NA,NA,NA
"Symbol",NA,NA,NA,NA
"Title",NA,NA,NA,NA
"Species",NA,NA,"species",NA
"Family",NA,NA,NA,NA
"pft",NA,"-","pft",NA
"growingCondition",NA,"-","growingCondition",NA
"status",NA,"-","status",NA
"vegetation",NA,"-","vegetation",NA
"location",NA,"-","location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"map",NA,"mm","map",NA
